127.0.0.1 - - [02/May/2024:00:34:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/product-images/g2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/product-images/s1.webp HTTP/1.1" 200 132900
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/product-images/d1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/product-images/v1.webp HTTP/1.1" 200 99822
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/product-images/t1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:51 +0530] "GET /CRUD1/product-images/o1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:34:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/May/2024:00:35:00 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [02/May/2024:00:35:01 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:35:02 +0530] "GET /CRUD1/registration.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [02/May/2024:00:35:03 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:38:48 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [02/May/2024:00:38:49 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:38:50 +0530] "GET /CRUD1/registration.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [02/May/2024:00:38:51 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:38:55 +0530] "GET /CRUD1/registration.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [02/May/2024:00:38:57 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:39:01 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:39:02 +0530] "GET /CRUD1/registration.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [02/May/2024:00:39:35 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:40:43 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [02/May/2024:00:40:45 +0530] "GET /CRUD1/registration.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [02/May/2024:00:40:47 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:40:48 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:40:49 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [02/May/2024:00:41:06 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:41:24 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:41:36 +0530] "POST /CRUD1/user-login HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [02/May/2024:00:41:51 +0530] "POST /CRUD1/user-login HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [02/May/2024:00:46:49 +0530] "POST /CRUD1/user-login HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [02/May/2024:00:46:59 +0530] "POST /CRUD1/user-login HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:08 +0530] "GET /CRUD1/registration.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:25 +0530] "POST /CRUD1/user-registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:25 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:29 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:40 +0530] "POST /CRUD1/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:40 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7967
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:47 +0530] "GET /CRUD1/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:47 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:48 +0530] "GET /CRUD1/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:48 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:50 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:52 +0530] "POST /CRUD1/order-now HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:53 +0530] "GET /CRUD1/orders.jsp HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [02/May/2024:00:47:59 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:01 +0530] "GET /CRUD1/orders.jsp HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:02 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:03 +0530] "POST /CRUD1/order-now HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:03 +0530] "GET /CRUD1/orders.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:08 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:09 +0530] "GET /CRUD1/orders.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:10 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:11 +0530] "GET /CRUD1/orders.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:12 +0530] "GET /CRUD1/cart.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:13 +0530] "GET /CRUD1/orders.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:14 +0530] "GET /CRUD1/log-out HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:14 +0530] "GET /CRUD1/login.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [02/May/2024:00:48:15 +0530] "GET /CRUD1/index.jsp HTTP/1.1" 200 7978
